,customer_id,loyalty_score,product_id,product_category
132,C114,3,P55,food
133,C117,10,P33,fruit_veg
134,C117,10,P32,fruit_veg
135,C132,7,P14,clothes
136,C132,7,P13,clothes
137,C132,7,P14,clothes
138,C133,3,P22,fruit_veg
139,C136,10,P27,fruit_veg
140,C136,10,P32,fruit_veg
141,C136,10,P34,fruit_veg
142,C8,7,P28,fruit_veg
143,C8,7,P30,fruit_veg
144,C8,7,P28,fruit_veg
145,C15,6,P64,bws
146,C15,6,P62,bws
147,C17,2,P58,food
148,C17,2,P51,food
149,C17,2,P53,food
150,C28,3,P61,bws
151,C28,3,P62,bws
152,C52,1,P37,sweets
153,C52,1,P38,sweets
154,C52,1,P36,sweets
155,C56,4,P31,fruit_veg
156,C56,4,P28,fruit_veg
157,C56,4,P25,fruit_veg
158,C69,7,P36,sweets
159,C69,7,P39,sweets
160,C69,7,P37,sweets
161,C70,9,P15,clothes
162,C70,9,P14,clothes
163,C70,9,P13,clothes
164,C73,2,P29,fruit_veg
165,C73,2,P23,fruit_veg
166,C74,5,P25,fruit_veg
167,C77,9,P48,food
168,C81,7,P10,house
169,C89,8,P36,sweets
170,C89,8,P39,sweets
171,C89,8,P36,sweets
172,C97,9,P36,sweets
173,C97,9,P38,sweets
174,C99,9,P30,fruit_veg
175,C99,9,P34,fruit_veg
176,C104,7,P36,sweets
177,C109,6,P43,food
178,C111,1,P38,sweets
179,C111,1,P40,sweets
180,C112,3,P59,food
181,C115,1,P39,sweets
182,C115,1,P37,sweets
183,C115,1,P39,sweets
184,C119,7,P36,sweets
185,C125,1,P09,house
186,C125,1,P02,house
187,C133,3,P14,clothes
188,C133,3,P15,clothes
189,C136,10,P23,fruit_veg
190,C1,7,P37,sweets
191,C1,7,P35,sweets
192,C2,4,P60,food
193,C2,4,P60,food
194,C3,8,P11,house
195,C3,8,P01,house
196,C6,10,P48,food
197,C6,10,P44,food
198,C6,10,P58,food
199,C17,2,P36,sweets
200,C17,2,P36,sweets
201,C18,8,P04,house
202,C18,8,P03,house
203,C18,8,P11,house
204,C20,2,P63,bws
205,C20,2,P64,bws
206,C27,10,P39,sweets
207,C34,3,P30,fruit_veg
208,C35,7,P46,food
209,C35,7,P52,food
210,C35,7,P54,food
211,C40,4,P57,food
212,C40,4,P51,food
213,C42,2,P13,clothes
214,C42,2,P19,clothes
215,C42,2,P19,clothes
216,C59,6,P11,house
217,C59,6,P08,house
218,C59,6,P08,house
219,C61,4,P22,fruit_veg
220,C61,4,P26,fruit_veg
221,C67,4,P38,sweets
222,C67,4,P36,sweets
223,C67,4,P37,sweets
224,C73,2,P43,food
225,C73,2,P50,food
226,C73,2,P50,food
227,C77,9,P52,food
228,C80,9,P55,food
229,C80,9,P51,food
230,C94,10,P10,house
231,C99,9,P26,fruit_veg
232,C118,7,P05,house
233,C118,7,P08,house
234,C119,7,P64,bws
235,C119,7,P62,bws
236,C133,3,P18,clothes
237,C133,3,P13,clothes
238,C2,4,P51,food
239,C6,10,P51,food
240,C6,10,P44,food
241,C6,10,P54,food
242,C9,8,P25,fruit_veg
243,C9,8,P29,fruit_veg
244,C9,8,P26,fruit_veg
245,C15,6,P63,bws
246,C15,6,P61,bws
247,C15,6,P61,bws
248,C16,5,P03,house
249,C16,5,P09,house
250,C16,5,P01,house
251,C17,2,P40,sweets
252,C17,2,P36,sweets
253,C17,2,P38,sweets
254,C19,6,P23,fruit_veg
255,C19,6,P26,fruit_veg
256,C19,6,P23,fruit_veg
257,C35,7,P46,food
258,C35,7,P54,food
259,C35,7,P42,food
260,C46,5,P26,fruit_veg
261,C48,4,P60,food
262,C48,4,P46,food
263,C50,8,P33,fruit_veg
264,C50,8,P27,fruit_veg
265,C50,8,P32,fruit_veg
266,C52,1,P40,sweets
267,C61,4,P40,sweets
268,C61,4,P36,sweets
269,C61,4,P37,sweets
270,C63,2,P36,sweets
271,C63,2,P39,sweets
272,C68,8,P62,bws
273,C68,8,P61,bws
274,C68,8,P63,bws
275,C82,9,P32,fruit_veg
276,C97,9,P23,fruit_veg
277,C97,9,P31,fruit_veg
278,C104,7,P51,food
279,C111,1,P35,sweets
280,C112,3,P48,food
281,C112,3,P44,food
282,C123,3,P40,sweets
283,C123,3,P36,sweets
284,C127,4,P40,sweets
285,C131,4,P08,house
286,C131,4,P06,house
287,C136,10,P06,house
288,C136,10,P02,house
289,C2,4,P36,sweets
290,C2,4,P40,sweets
291,C2,4,P35,sweets
292,C3,8,P09,house
293,C3,8,P09,house
294,C4,5,P07,house
295,C4,5,P05,house
296,C4,5,P02,house
297,C7,3,P47,food
298,C7,3,P45,food
299,C8,7,P11,house
300,C8,7,P02,house
301,C8,7,P12,house
302,C20,2,P62,bws
303,C20,2,P64,bws
304,C22,1,P45,food
305,C27,10,P38,sweets
306,C35,7,P42,food
307,C35,7,P48,food
308,C52,1,P39,sweets
309,C55,8,P46,food
310,C55,8,P59,food
311,C55,8,P56,food
312,C65,2,P61,bws
313,C68,8,P64,bws
314,C68,8,P63,bws
315,C68,8,P62,bws
316,C69,7,P59,food
317,C101,2,P38,sweets
318,C101,2,P38,sweets
319,C101,2,P40,sweets
320,C121,10,P05,house
321,C132,7,P13,clothes
322,C133,3,P16,clothes
323,C4,5,P41,food
324,C4,5,P58,food
325,C4,5,P51,food
326,C7,3,P48,food
327,C7,3,P42,food
328,C9,8,P24,fruit_veg
329,C9,8,P22,fruit_veg
330,C9,8,P29,fruit_veg
331,C19,6,P50,food
332,C19,6,P46,food
333,C22,1,P41,food
334,C29,7,P38,sweets
335,C31,9,P25,fruit_veg
336,C31,9,P30,fruit_veg
337,C35,7,P55,food
338,C35,7,P54,food
339,C41,9,P25,fruit_veg
340,C41,9,P26,fruit_veg
341,C41,9,P32,fruit_veg
342,C45,10,P46,food
343,C45,10,P50,food
344,C45,10,P41,food
345,C46,5,P22,fruit_veg
346,C46,5,P28,fruit_veg
347,C46,5,P24,fruit_veg
348,C48,4,P51,food
349,C48,4,P52,food
350,C60,10,P33,fruit_veg
351,C60,10,P23,fruit_veg
352,C60,10,P24,fruit_veg
353,C65,2,P61,bws
354,C65,2,P61,bws
355,C65,2,P62,bws
356,C67,4,P12,house
357,C70,9,P63,bws
358,C70,9,P61,bws
359,C73,2,P20,clothes
360,C78,9,P22,fruit_veg
361,C82,9,P24,fruit_veg
362,C82,9,P26,fruit_veg
363,C82,9,P31,fruit_veg
364,C83,8,P41,food
365,C83,8,P47,food
366,C94,10,P30,fruit_veg
367,C104,7,P02,house
368,C104,7,P03,house
369,C104,7,P04,house
370,C111,1,P40,sweets
371,C111,1,P35,sweets
372,C111,1,P37,sweets
373,C120,9,P24,fruit_veg
374,C120,9,P24,fruit_veg
375,C134,6,P04,house
376,C134,6,P12,house
377,C134,6,P06,house
378,C4,5,P49,food
379,C9,8,P29,fruit_veg
380,C9,8,P34,fruit_veg
381,C9,8,P26,fruit_veg
382,C19,6,P49,food
383,C19,6,P50,food
384,C19,6,P54,food
385,C22,1,P34,fruit_veg
386,C22,1,P32,fruit_veg
387,C28,3,P64,bws
388,C28,3,P61,bws
389,C35,7,P51,food
390,C35,7,P41,food
391,C35,7,P55,food
392,C45,10,P50,food
393,C49,7,P22,fruit_veg
394,C50,8,P39,sweets
395,C50,8,P35,sweets
396,C52,1,P38,sweets
397,C60,10,P01,house
398,C60,10,P09,house
399,C84,1,P56,food
400,C84,1,P56,food
401,C87,3,P42,food
402,C87,3,P43,food
403,C87,3,P60,food
404,C90,3,P60,food
405,C90,3,P53,food
406,C90,3,P48,food
407,C98,7,P37,sweets
408,C98,7,P40,sweets
409,C100,8,P12,house
410,C100,8,P01,house
411,C103,7,P62,bws
412,C103,7,P62,bws
413,C103,7,P62,bws
414,C105,8,P34,fruit_veg
415,C105,8,P22,fruit_veg
416,C106,5,P30,fruit_veg
417,C106,5,P34,fruit_veg
418,C106,5,P31,fruit_veg
419,C119,7,P37,sweets
420,C123,3,P38,sweets
421,C123,3,P36,sweets
422,C123,3,P39,sweets
423,C124,7,P25,fruit_veg
424,C124,7,P30,fruit_veg
425,C127,4,P42,food
426,C127,4,P51,food
427,C128,5,P40,sweets
428,C128,5,P35,sweets
429,C132,7,P15,clothes
430,C132,7,P14,clothes
431,C132,7,P13,clothes
432,C5,7,P09,house
433,C5,7,P03,house
434,C5,7,P10,house
435,C9,8,P28,fruit_veg
436,C10,5,P43,food
437,C10,5,P41,food
438,C10,5,P55,food
439,C28,3,P62,bws
440,C28,3,P61,bws
441,C28,3,P64,bws
442,C38,7,P63,bws
443,C52,1,P37,sweets
444,C60,10,P06,house
445,C61,4,P34,fruit_veg
446,C61,4,P26,fruit_veg
447,C61,4,P22,fruit_veg
448,C88,1,P58,food
449,C88,1,P42,food
450,C91,3,P22,fruit_veg
451,C91,3,P27,fruit_veg
452,C99,9,P29,fruit_veg
453,C104,7,P43,food
454,C104,7,P45,food
455,C104,7,P47,food
456,C107,3,P32,fruit_veg
457,C119,7,P38,sweets
458,C119,7,P35,sweets
459,C122,10,P12,house
460,C123,3,P38,sweets
461,C123,3,P39,sweets
462,C123,3,P35,sweets
463,C127,4,P57,food
464,C127,4,P47,food
465,C127,4,P52,food
466,C129,7,P27,fruit_veg
467,C130,7,P36,sweets
468,C132,7,P14,clothes
469,C132,7,P17,clothes
470,C132,7,P17,clothes
471,C133,3,P20,clothes
472,C133,3,P21,clothes
473,C9,8,P31,fruit_veg
474,C9,8,P31,fruit_veg
475,C9,8,P31,fruit_veg
476,C23,10,P25,fruit_veg
477,C23,10,P31,fruit_veg
478,C23,10,P29,fruit_veg
479,C34,3,P49,food
480,C34,3,P48,food
481,C34,3,P54,food
482,C38,7,P63,bws
483,C47,2,P50,food
484,C52,1,P35,sweets
485,C52,1,P39,sweets
486,C52,1,P40,sweets
487,C56,4,P39,sweets
488,C56,4,P37,sweets
489,C56,4,P35,sweets
490,C61,4,P05,house
491,C61,4,P11,house
492,C66,10,P39,sweets
493,C66,10,P39,sweets
494,C66,10,P35,sweets
495,C74,5,P37,sweets
496,C78,9,P08,house
497,C81,7,P56,food
498,C86,8,P22,fruit_veg
499,C86,8,P26,fruit_veg
500,C89,8,P09,house
501,C89,8,P03,house
502,C90,3,P56,food
503,C91,3,P16,clothes
504,C91,3,P13,clothes
505,C92,1,P35,sweets
506,C101,2,P40,sweets
507,C101,2,P38,sweets
508,C109,6,P15,clothes
509,C109,6,P17,clothes
510,C113,5,P08,house
511,C120,9,P31,fruit_veg
512,C122,10,P42,food
513,C123,3,P47,food
514,C123,3,P48,food
515,C131,4,P29,fruit_veg
516,C133,3,P13,clothes
517,C133,3,P19,clothes
518,C1,7,P56,food
519,C7,3,P33,fruit_veg
520,C7,3,P28,fruit_veg
521,C7,3,P29,fruit_veg
522,C9,8,P34,fruit_veg
523,C9,8,P29,fruit_veg
524,C19,6,P40,sweets
525,C19,6,P39,sweets
526,C21,5,P34,fruit_veg
527,C21,5,P27,fruit_veg
528,C21,5,P27,fruit_veg
529,C30,4,P52,food
530,C30,4,P59,food
531,C50,8,P37,sweets
532,C50,8,P35,sweets
533,C50,8,P36,sweets
534,C58,6,P30,fruit_veg
535,C58,6,P28,fruit_veg
536,C61,4,P30,fruit_veg
537,C63,2,P27,fruit_veg
538,C63,2,P34,fruit_veg
539,C63,2,P34,fruit_veg
540,C70,9,P61,bws
541,C70,9,P62,bws
542,C70,9,P64,bws
543,C71,8,P25,fruit_veg
544,C71,8,P23,fruit_veg
545,C72,5,P14,clothes
546,C72,5,P20,clothes
547,C82,9,P25,fruit_veg
548,C84,1,P19,clothes
549,C84,1,P18,clothes
550,C103,7,P31,fruit_veg
551,C103,7,P29,fruit_veg
552,C103,7,P23,fruit_veg
553,C104,7,P12,house
554,C104,7,P11,house
555,C113,5,P01,house
556,C113,5,P10,house
557,C113,5,P02,house
558,C122,10,P51,food
559,C122,10,P51,food
560,C123,3,P18,clothes
561,C123,3,P19,clothes
562,C123,3,P17,clothes
563,C129,7,P29,fruit_veg
564,C129,7,P27,fruit_veg
565,C129,7,P23,fruit_veg
566,C6,10,P50,food
567,C6,10,P60,food
568,C6,10,P57,food
569,C8,7,P27,fruit_veg
570,C8,7,P32,fruit_veg
571,C8,7,P27,fruit_veg
572,C9,8,P32,fruit_veg
573,C9,8,P32,fruit_veg
574,C12,8,P23,fruit_veg
575,C12,8,P27,fruit_veg
576,C12,8,P30,fruit_veg
577,C19,6,P36,sweets
578,C21,5,P28,fruit_veg
579,C21,5,P24,fruit_veg
580,C21,5,P27,fruit_veg
581,C22,1,P23,fruit_veg
582,C22,1,P34,fruit_veg
583,C24,6,P25,fruit_veg
584,C24,6,P23,fruit_veg
585,C28,3,P62,bws
586,C28,3,P62,bws
587,C31,9,P39,sweets
588,C31,9,P37,sweets
589,C31,9,P40,sweets
590,C36,5,P38,sweets
591,C36,5,P39,sweets
592,C36,5,P38,sweets
593,C38,7,P61,bws
594,C38,7,P62,bws
595,C38,7,P64,bws
596,C42,2,P29,fruit_veg
597,C42,2,P28,fruit_veg
598,C42,2,P22,fruit_veg
599,C46,5,P26,fruit_veg
600,C57,2,P03,house
601,C57,2,P10,house
602,C57,2,P05,house
603,C63,2,P28,fruit_veg
604,C70,9,P39,sweets
605,C70,9,P38,sweets
606,C70,9,P39,sweets
607,C72,5,P07,house
608,C72,5,P04,house
609,C72,5,P09,house
610,C78,9,P33,fruit_veg
611,C78,9,P27,fruit_veg
612,C86,8,P60,food
613,C88,1,P53,food
614,C88,1,P59,food
615,C88,1,P54,food
616,C90,3,P44,food
617,C91,3,P33,fruit_veg
618,C95,7,P40,sweets
619,C95,7,P39,sweets
620,C95,7,P40,sweets
621,C103,7,P32,fruit_veg
622,C103,7,P23,fruit_veg
623,C104,7,P42,food
624,C104,7,P41,food
625,C104,7,P56,food
626,C111,1,P39,sweets
627,C111,1,P36,sweets
628,C111,1,P37,sweets
629,C128,5,P37,sweets
630,C128,5,P37,sweets
631,C128,5,P39,sweets
632,C3,8,P10,house
633,C3,8,P04,house
634,C3,8,P05,house
635,C4,5,P57,food
636,C4,5,P48,food
637,C7,3,P51,food
638,C12,8,P30,fruit_veg
639,C14,3,P43,food
640,C19,6,P60,food
641,C28,3,P62,bws
642,C28,3,P64,bws
643,C28,3,P63,bws
644,C35,7,P56,food
645,C35,7,P56,food
646,C35,7,P53,food
647,C36,5,P40,sweets
648,C36,5,P39,sweets
649,C41,9,P32,fruit_veg
650,C41,9,P24,fruit_veg
651,C41,9,P22,fruit_veg
652,C43,10,P54,food
653,C50,8,P30,fruit_veg
654,C57,2,P06,house
655,C58,6,P32,fruit_veg
656,C58,6,P27,fruit_veg
657,C58,6,P29,fruit_veg
658,C60,10,P27,fruit_veg
659,C61,4,P28,fruit_veg
660,C61,4,P30,fruit_veg
661,C61,4,P27,fruit_veg
662,C64,10,P30,fruit_veg
663,C64,10,P28,fruit_veg
664,C64,10,P34,fruit_veg
665,C67,4,P06,house
666,C67,4,P11,house
667,C71,8,P37,sweets
668,C71,8,P35,sweets
669,C71,8,P38,sweets
670,C81,7,P31,fruit_veg
671,C82,9,P26,fruit_veg
672,C82,9,P32,fruit_veg
673,C82,9,P25,fruit_veg
674,C93,5,P55,food
675,C104,7,P62,bws
676,C110,3,P64,bws
677,C110,3,P61,bws
678,C116,5,P40,sweets
679,C122,10,P04,house
680,C122,10,P02,house
681,C122,10,P07,house
682,C123,3,P20,clothes
683,C123,3,P16,clothes
684,C123,3,P20,clothes
685,C2,4,P40,sweets
686,C2,4,P40,sweets
687,C4,5,P60,food
688,C21,5,P29,fruit_veg
689,C24,6,P46,food
690,C27,10,P38,sweets
691,C27,10,P35,sweets
692,C27,10,P40,sweets
693,C36,5,P39,sweets
694,C40,4,P52,food
695,C42,2,P15,clothes
696,C42,2,P16,clothes
697,C42,2,P13,clothes
698,C50,8,P33,fruit_veg
699,C55,8,P34,fruit_veg
700,C55,8,P34,fruit_veg
701,C68,8,P61,bws
702,C70,9,P47,food
703,C70,9,P56,food
704,C75,8,P37,sweets
705,C75,8,P36,sweets
706,C91,3,P27,fruit_veg
707,C99,9,P06,house
708,C99,9,P10,house
709,C99,9,P12,house
710,C112,3,P41,food
711,C112,3,P60,food
712,C112,3,P60,food
713,C117,10,P31,fruit_veg
714,C123,3,P21,clothes
715,C123,3,P15,clothes
716,C123,3,P16,clothes
717,C133,3,P17,clothes
718,C133,3,P21,clothes
719,C133,3,P18,clothes
720,C136,10,P03,house
721,C136,10,P08,house
722,C136,10,P05,house
723,C8,7,P27,fruit_veg
724,C8,7,P22,fruit_veg
725,C8,7,P25,fruit_veg
726,C9,8,P30,fruit_veg
727,C18,8,P07,house
728,C18,8,P10,house
729,C18,8,P06,house
730,C29,7,P50,food
731,C36,5,P40,sweets
732,C36,5,P38,sweets
733,C36,5,P38,sweets
734,C38,7,P61,bws
735,C38,7,P62,bws
736,C38,7,P61,bws
737,C50,8,P35,sweets
738,C56,4,P35,sweets
739,C56,4,P36,sweets
740,C59,6,P02,house
741,C59,6,P12,house
742,C61,4,P29,fruit_veg
743,C70,9,P62,bws
744,C70,9,P62,bws
745,C80,9,P07,house
746,C82,9,P28,fruit_veg
747,C83,8,P48,food
748,C83,8,P53,food
749,C88,1,P55,food
750,C91,3,P14,clothes
751,C98,7,P35,sweets
752,C98,7,P37,sweets
753,C98,7,P39,sweets
754,C99,9,P32,fruit_veg
755,C99,9,P31,fruit_veg
756,C100,8,P05,house
757,C100,8,P08,house
758,C101,2,P22,fruit_veg
759,C101,2,P23,fruit_veg
760,C117,10,P24,fruit_veg
761,C117,10,P26,fruit_veg
762,C117,10,P34,fruit_veg
763,C134,6,P36,sweets
764,C3,8,P11,house
765,C6,10,P58,food
766,C7,3,P64,bws
767,C9,8,P31,fruit_veg
768,C9,8,P25,fruit_veg
769,C14,3,P59,food
770,C19,6,P26,fruit_veg
771,C19,6,P28,fruit_veg
772,C28,3,P61,bws
773,C28,3,P63,bws
774,C28,3,P63,bws
775,C36,5,P40,sweets
776,C36,5,P35,sweets
777,C36,5,P39,sweets
778,C46,5,P22,fruit_veg
779,C50,8,P39,sweets
780,C50,8,P37,sweets
781,C52,1,P37,sweets
782,C64,10,P06,house
783,C70,9,P62,bws
784,C70,9,P63,bws
785,C70,9,P64,bws
786,C103,7,P62,bws
787,C103,7,P63,bws
788,C108,8,P39,sweets
789,C108,8,P40,sweets
790,C108,8,P36,sweets
791,C111,1,P38,sweets
792,C111,1,P40,sweets
793,C124,7,P33,fruit_veg
794,C129,7,P31,fruit_veg
795,C133,3,P61,bws
796,C133,3,P62,bws
797,C27,10,P38,sweets
798,C27,10,P38,sweets
799,C27,10,P35,sweets
800,C29,7,P03,house
801,C29,7,P03,house
802,C30,4,P20,clothes
803,C30,4,P21,clothes
804,C30,4,P15,clothes
805,C35,7,P38,sweets
806,C35,7,P38,sweets
807,C35,7,P40,sweets
808,C38,7,P03,house
809,C38,7,P11,house
810,C46,5,P61,bws
811,C47,2,P27,fruit_veg
812,C50,8,P25,fruit_veg
813,C50,8,P28,fruit_veg
814,C50,8,P23,fruit_veg
815,C52,1,P37,sweets
816,C71,8,P32,fruit_veg
817,C80,9,P56,food
818,C88,1,P49,food
819,C88,1,P51,food
820,C88,1,P44,food
821,C95,7,P35,sweets
822,C95,7,P38,sweets
823,C98,7,P35,sweets
824,C98,7,P37,sweets
825,C99,9,P03,house
826,C101,2,P24,fruit_veg
827,C104,7,P27,fruit_veg
828,C104,7,P26,fruit_veg
829,C131,4,P35,sweets
830,C131,4,P38,sweets
831,C134,6,P40,sweets
832,C1,7,P50,food
833,C10,5,P40,sweets
834,C10,5,P36,sweets
835,C10,5,P40,sweets
836,C12,8,P27,fruit_veg
837,C12,8,P23,fruit_veg
838,C19,6,P39,sweets
839,C27,10,P39,sweets
840,C27,10,P38,sweets
841,C27,10,P40,sweets
842,C33,5,P25,fruit_veg
843,C33,5,P34,fruit_veg
844,C34,3,P04,house
845,C36,5,P39,sweets
846,C36,5,P40,sweets
847,C44,9,P45,food
848,C44,9,P54,food
849,C44,9,P44,food
850,C49,7,P35,sweets
851,C58,6,P29,fruit_veg
852,C58,6,P24,fruit_veg
853,C67,4,P35,sweets
854,C74,5,P30,fruit_veg
855,C74,5,P28,fruit_veg
856,C77,9,P60,food
857,C82,9,P34,fruit_veg
858,C82,9,P34,fruit_veg
859,C86,8,P56,food
860,C86,8,P59,food
861,C87,3,P64,bws
862,C87,3,P61,bws
863,C92,1,P01,house
864,C92,1,P02,house
865,C94,10,P12,house
866,C98,7,P40,sweets
867,C125,1,P07,house
868,C125,1,P06,house
869,C125,1,P10,house
870,C132,7,P16,clothes
871,C3,8,P08,house
872,C3,8,P12,house
873,C3,8,P03,house
874,C15,6,P62,bws
875,C15,6,P62,bws
876,C15,6,P62,bws
877,C16,5,P12,house
878,C16,5,P09,house
879,C29,7,P03,house
880,C35,7,P35,sweets
881,C35,7,P38,sweets
882,C35,7,P40,sweets
883,C39,2,P62,bws
884,C39,2,P63,bws
885,C43,10,P55,food
886,C43,10,P48,food
887,C52,1,P38,sweets
888,C60,10,P30,fruit_veg
889,C60,10,P30,fruit_veg
890,C60,10,P24,fruit_veg
891,C67,4,P51,food
892,C68,8,P62,bws
893,C68,8,P61,bws
894,C68,8,P61,bws
895,C81,7,P29,fruit_veg
896,C81,7,P26,fruit_veg
897,C81,7,P25,fruit_veg
898,C82,9,P29,fruit_veg
899,C86,8,P43,food
900,C90,3,P53,food
901,C90,3,P47,food
902,C90,3,P56,food
903,C95,7,P04,house
904,C95,7,P09,house
905,C111,1,P38,sweets
906,C127,4,P35,sweets
907,C127,4,P38,sweets
908,C129,7,P34,fruit_veg
909,C133,3,P38,sweets
910,C133,3,P38,sweets
911,C134,6,P38,sweets
912,C134,6,P38,sweets
913,C2,4,P59,food
914,C2,4,P50,food
915,C2,4,P60,food
916,C7,3,P59,food
917,C7,3,P56,food
918,C9,8,P33,fruit_veg
919,C10,5,P22,fruit_veg
920,C10,5,P23,fruit_veg
921,C10,5,P33,fruit_veg
922,C13,8,P31,fruit_veg
923,C22,1,P26,fruit_veg
924,C29,7,P35,sweets
925,C31,9,P37,sweets
926,C45,10,P51,food
927,C58,6,P22,fruit_veg
928,C58,6,P33,fruit_veg
929,C60,10,P25,fruit_veg
930,C62,6,P12,house
931,C62,6,P11,house
932,C64,10,P29,fruit_veg
933,C64,10,P23,fruit_veg
934,C64,10,P29,fruit_veg
935,C67,4,P39,sweets
936,C68,8,P49,food
937,C70,9,P64,bws
938,C70,9,P61,bws
939,C82,9,P30,fruit_veg
940,C82,9,P22,fruit_veg
941,C94,10,P32,fruit_veg
942,C99,9,P25,fruit_veg
943,C122,10,P42,food
944,C122,10,P47,food
945,C122,10,P57,food
946,C123,3,P38,sweets
947,C123,3,P37,sweets
948,C130,7,P22,fruit_veg
949,C131,4,P06,house
950,C131,4,P04,house
951,C1,7,P52,food
952,C1,7,P48,food
953,C4,5,P28,fruit_veg
954,C4,5,P31,fruit_veg
955,C4,5,P32,fruit_veg
956,C7,3,P51,food
957,C7,3,P56,food
958,C17,2,P39,sweets
959,C17,2,P37,sweets
960,C17,2,P40,sweets
961,C20,2,P40,sweets
962,C20,2,P35,sweets
963,C20,2,P39,sweets
964,C22,1,P26,fruit_veg
965,C22,1,P26,fruit_veg
966,C27,10,P39,sweets
967,C27,10,P40,sweets
968,C37,9,P62,bws
969,C39,2,P02,house
970,C39,2,P07,house
971,C50,8,P60,food
972,C50,8,P41,food
973,C66,10,P24,fruit_veg
974,C69,7,P49,food
975,C70,9,P04,house
976,C70,9,P05,house
977,C74,5,P22,fruit_veg
978,C74,5,P31,fruit_veg
979,C74,5,P25,fruit_veg
980,C75,8,P38,sweets
981,C75,8,P38,sweets
982,C81,7,P49,food
983,C81,7,P43,food
984,C82,9,P25,fruit_veg
985,C82,9,P23,fruit_veg
986,C86,8,P43,food
987,C87,3,P58,food
988,C87,3,P51,food
989,C101,2,P37,sweets
990,C101,2,P36,sweets
991,C101,2,P37,sweets
992,C111,1,P38,sweets
993,C111,1,P35,sweets
994,C127,4,P24,fruit_veg
995,C127,4,P24,fruit_veg
